timestamp,experiment_id,material,thickness_mm,inlet_temp_c,outlet_temp_c,delta_t_c,flow_lpm,pwm,pump,mode,alarm,efficiency,notes
2026-08-07 01:05:20,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:21,EXP-001,Al6061,8,28.81,28.56,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:22,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:23,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:24,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:25,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:26,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:28,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:29,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:30,EXP-001,Al6061,8,28.81,28.62,-0.19,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:31,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:32,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:33,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:34,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:35,EXP-001,Al6061,8,28.87,28.62,-0.25,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:36,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:37,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:39,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:40,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:41,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
2026-08-07 01:05:42,EXP-001,Al6061,8,28.87,28.69,-0.18,0.00,0,OFF,MANUAL,NONE,0.00,
